         3615335 function calls (3404599 primitive calls) in 92.096 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      224    0.048    0.000    0.065    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\sacrebleu\metrics\helpers.py:26(extract_word_ngrams)
      568    0.048    0.000    0.445    0.001 <frozen importlib._bootstrap>:1240(_find_spec)
     2352    0.048    0.000    0.110    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\dill\_dill.py:351(__init__)
      116    0.047    0.000    0.064    0.001 {built-in method nt.unlink}
        1    0.047    0.047    0.050    0.050 {built-in method _winapi._mimetypes_read_windows_registry}
    20160    0.047    0.000    0.053    0.000 C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\pickle.py:235(write)
      741    0.046    0.000    0.060    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\openpyxl\cell\_writer.py:89(lxml_write_cell)
  672/224    0.045    0.000    1.129    0.005 C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\pickle.py:615(save_reduce)
        1    0.044    0.044    0.081    0.081 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\absl\flags\_defines.py:1(<module>)
      448    0.043    0.000    0.209    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\dill\_dill.py:1750(save_type)
     3904    0.043    0.000    2.390    0.001 C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\re\__init__.py:280(_compile)
  784/448    0.043    0.000    0.930    0.002 C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\pickle.py:970(_batch_setitems)
      345    0.043    0.000    0.204    0.001 C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\inspect.py:2470(_signature_from_callable)
   142052    0.042    0.000    0.042    0.000 {method 'get' of 'dict' objects}
      193    0.042    0.000    0.044    0.000 {built-in method _io.open}
     5152    0.041    0.000    0.041    0.000 {built-in method torch.dropout}
     1771    0.041    0.000    0.065    0.000 C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\inspect.py:2712(__init__)
     2352    0.041    0.000    1.488    0.001 C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\pickle.py:470(dump)
      560    0.039    0.000    0.161    0.000 C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\pickle.py:1048(save_global)
